order_vendor_dbname,order_vendor_dbname
100caps_697473735,44
1astore_620344781,2
3333digitalstore_1364937057,32
369elitexxx_659958160,2
37zonaurbana_1007604035,2
3dwallcolombia_1467049869,111
3my_850386692,2
4dbydayadiaz_681233816,108
4iu_1671382795,1
4ligas_1011933939,69
4store_692500545,34
4storeoline_138719544,4
61db40d95255d53de791b8f9,1
6217d4b8cedb0689650459d9,4
6219687f0eab9e377703bea5,7
621ad0e64eedefcbc31e5d63,1
621bca90d705b26e6036ec8c,53
621d0b184eedefcbc31e5db0,1
623cd21ba472bcc4c5ff0383,1
623e4e8a9598fd1b945c2d8f,1
623fe307b57ff11783e75f68,51
623fe35d9598fd1b945c2da6,48
6246214f5a4c4d147ad378a7,79
624a9f1035751e55f3815884,3
62544b795a4c4d147ad3799b,4
62579f50c2025cf436697a27,8
6262cca2926fcc1ac990ff64,1
626713a754a711a409ea41ea,12
626aa9621dc5b8b2fa05b082,1
626cc64ad220fd556bc41c56,1
62713590926fcc1ac99102d8,1
627c3c8c926fcc1ac99104cc,16
628ba839926fcc1ac9910795,1
629a69abeed27c7458086050,1
62bb55fbf6f16aa95548f9a5,1
62bb8774e4e49f8b2d3476e3,5
62bb9e9df6f16aa95548f9bd,8
62be1347e4d9898f2010c856,16
62c3367ae4d9898f2010c8e1,3
62cc2a6af0c5e7ac6d3a007f,5
62cf13b1411c991da4db76bf,56
62daf0f9392fc6e93b679609,5
62e75644392fc6e93b67990b,5
62e9b485b622e14ceb2bc7db,1
62f0f5fdb622e14ceb2bc8a3,2
62f69b3cb622e14ceb2bca42,10
62fc59a5b622e14ceb2bcbde,1
62ffe293b622e14ceb2bcd7f,1
630e97f6b622e14ceb2bd27f,1
63234bef411c991da4db8ba8,4
63239124f11a42161e70f870,3
633a6e4d7dc4eb944d10374d,3
633cf2e47dc4eb944d1037e1,10
633d001b9098da07ba479880,2
634382597dc4eb944d10398b,8
6348e1a6617786d1e803a253,21
634a372c7dc4eb944d103be4,11
634ecac97dc4eb944d103da7,1
6352ed587dc4eb944d103fa6,3
63560ecf7dc4eb944d1040a3,1
63587ba858509c066d07e713,1
6358901a58509c066d07e726,1
63629a1a06aa6b1ee1d1bcc9,1
636b880e5488ebeeec5e4d59,14
636d62cb7d9d4e6aca4ee7f2,8
636d93fb39d89399ca512338,125
63715bb139d89399ca5124bf,42
63726dec7d9d4e6aca4eea3e,2
637276325488ebeeec5e5081,1
637320505488ebeeec5e50f1,1
637513a17af414aabe03f4a9,3
63757cba9cfa94c6b61ad5d9,3
63762aa9eafb9cd6b44a86f6,34
6377fe43eafb9cd6b44a87e3,1
637abe6a9cfa94c6b61ad789,1
637e7eedeafb9cd6b44a8956,30
6381586591e8736071aab5cb,16
63855dbf91e8736071aab6de,2
638a6a3a9cfa94c6b61adc35,24
639f31ceb6ba287d270af5fd,7
63a1cfbe9b147ae9da63b2f8,3
63a50ddcb6ba287d270af82b,2
63ac8e612266f3a747d89417,1
63ae66d921b4f0b9c73b6e15,5
63b0839e21b4f0b9c73b6ef6,7
63bf87950dce060878d156c3,4
63c49b5c0dce060878d15802,1
63c4aed60dce060878d15816,3
63c4c1f67d7210c4dffc922e,1
63c8769b0dce060878d159ed,41
63c8862821b4f0b9c73b77b0,64
63ca95537d7210c4dffc94dd,1
63cc00577d7210c4dffc953b,22
63cc670921b4f0b9c73b78d8,706
63cdaaaff9738fcbb72a492c,1
63d0047321b4f0b9c73b7a3e,98
63d190cf7d7210c4dffc97e0,5
63d288dde96be8826d87c40b,2
63d2eef9e96be8826d87c48f,120
63d2f49f5981914c9c7580c1,16
63d30e13e96be8826d87c4be,1
63d5861b5981914c9c7581d0,22
63d952785325fdd395d10c18,2
63d9f1689fd9ef736f3c7cf9,6
63dab91e9fd9ef736f3c7d39,21
63dd29e75981914c9c758508,2
63e011089fd9ef736f3c7f79,1
63e19c325981914c9c7586fb,3
63e5b2c9a7a6dfece8c2f406,13
63eb4ddf27de728648a7775a,2
63eb5741a7a6dfece8c2f660,2
63f2fe376abb103790fdc21f,2
63f684ba27de728648a77f8a,1
63fd240027de728648a78359,4
64040302d0408f17b5a5599b,2
640655f76abb103790fdcdd3,1
6408dfc1a7a6dfece8c307d5,11
640a46d627de728648a78ac7,93
640be0b427de728648a78be2,1
640cb6e8a7a6dfece8c309f8,1
640d121ed0408f17b5a55f16,15
640ee229d0408f17b5a55fde,1
640f8ecea7a6dfece8c30b5b,6
641011dba7a6dfece8c30be5,1
64108e30d0408f17b5a560f5,5
64134ff8d0408f17b5a562bc,19
64138b3b6abb103790fdd5c8,1
64166d3427de728648a79123,4
641a164bd0408f17b5a56547,1
641b5bac6abb103790fdd8d6,1
641ca7556abb103790fdd987,25
641df27ad0408f17b5a56798,1
641dfc4127de728648a794e8,3
641f2fd527de728648a7959c,1
641fadeda7a6dfece8c31334,7
6420b83427de728648a7961e,2
6420d15b27de728648a7962b,20
6422550dd0408f17b5a56908,26
64233119a7a6dfece8c31453,5
64237daad0408f17b5a569c6,4
64249f2ea7a6dfece8c31516,2
6424cffd27de728648a79820,1
642c27ced0408f17b5a56d45,1
642ce7f26abb103790fde1a1,7
643180afa7a6dfece8c31a4e,2
64318f98d0408f17b5a56f39,5
6435c65ad0408f17b5a57151,21
64374020d0408f17b5a57267,1
643859fb27de728648a7a162,33
6438c587a7a6dfece8c31ea2,1
643981faa7a6dfece8c31f10,1
6439997d27de728648a7a247,57
64399de427de728648a7a25f,1
643d92c86abb103790fdea34,1
643e9118d0408f17b5a5777d,2
643f35f1a7a6dfece8c32276,3
64428ab56abb103790fded9e,23
64462f6c27de728648a7a8dc,23
6446a74648e861429a4b14c1,34
64474bc3bc1391265257d961,1
644751e348e861429a4b1536,49
644a22df75b4f8a201a8f796,8
644a7838bc1391265257dbb3,4
6450307552239ba8dd835584,18
6450945748e861429a4b1bd6,2
6451bd21bc1391265257e152,2
6451f17775b4f8a201a8fd8a,2
6452e2f148e861429a4b1d1c,1
6452fff048e861429a4b1d39,1
6453f5f575b4f8a201a8fe71,2
6455856bbc1391265257e32b,279
64571e6952239ba8dd835a13,14
64576bc348e861429a4b2036,6
645a8e5052239ba8dd835c8b,3
645bcb2ebc1391265257e7b7,8
645bdd8f48e861429a4b23de,5
645d535175b4f8a201a9059d,7
645de3ad48e861429a4b257f,2711
646010c648e861429a4b26f8,2
64610d7075b4f8a201a907c3,9
64614eb948e861429a4b278c,1
646181a5bc1391265257eb27,79
6462841375b4f8a201a90867,3
6462a2c9bc1391265257ebe1,1
6463203dbc1391265257ec25,2
6463d339bc1391265257ec79,6
6465208fbc1391265257ed5d,19
6465393452239ba8dd8363fb,8
64659865bc1391265257edbb,24
64680c89bc1391265257ee93,1
646a83da48e861429a4b2b63,4
646ae04d52239ba8dd8365c7,1
646b9d2e52239ba8dd8365f5,2
646d9ddb48e861429a4b2cea,21
646db74648e861429a4b2cf6,4
646fffa952239ba8dd836845,22
64711d2175b4f8a201a90d8e,16
64714b5352239ba8dd8368e2,2
647251e4bc1391265257f2be,2
6472c23875b4f8a201a90e5a,1
6473b657bc1391265257f2e8,12
647411e948e861429a4b2f71,21
6474b87675b4f8a201a90ea6,1
6474c14975b4f8a201a90ead,5
647680a9168048488c4a8651,1
647691b6f265a6d6f0d86f95,1
647699c9168048488c4a8664,1
6476a39dab63c95f44eb06c7,3
6476f351edd67b50c9074e67,2
647763d1168048488c4a86b6,1
64776ccaf265a6d6f0d86ff6,1
64781d66edd67b50c9074f14,3
647a8456168048488c4a885a,19
647adaa2f265a6d6f0d8712a,117
647e2448ab63c95f44eb093d,3
647ea2a11a650ae38509e42b,24
647ec00314e1c9a9bf100f22,1
647f528eb732f37ad768a934,3
647fb963cb0cd1951f84f71c,1
648016fdcb0cd1951f84f790,2
64802787824f5e762335e0c8,1
6481007fcb0cd1951f84f80d,1
64814db4cb0cd1951f84f836,5
64819349cb0cd1951f84f84f,15
64840e0dcb0cd1951f84fa2d,1
64849634508924c00622e440,7
64855648cb0cd1951f84fb3f,30
64873f576c188b34dee52a3b,10
6487655acb0cd1951f84fcbc,11
6487ba14824f5e762335e5f2,3
6487f95bcb0cd1951f84fd5f,3
6488a3c1cb0cd1951f84fdbd,2
648a0cc96c188b34dee52d05,23
648a423e08c40d2548dd079e,1
648b09d108c40d2548dd0833,2
648c6c6f423902a5dc9ffa8f,1
648caa5008c40d2548dd095b,140
648ccb9ead3fef17f5892bec,11
648dfe14ad3fef17f5892cff,5
648e9c9ead3fef17f5892dbd,1
64907f3cad3fef17f5892e93,2445
649080fdbdfe2f23526987ff,1229
6490817abdfe2f2352698805,8
64908262ad3fef17f5892e9f,2496
64909477bdfe2f2352698827,2
6490d3cfad3fef17f5892f57,1
6490e02108c40d2548dd0c64,1
6491303e423902a5dc9ffe9f,10
6491381f423902a5dc9ffeaf,17
6492926cad3fef17f58930fe,2
64936667423902a5dca00176,1
6493b0b6bdfe2f2352698baa,3
6494ab01423902a5dca002c4,1
6494f44a423902a5dca00307,2
64952063423902a5dca0032e,11
649629abbdfe2f2352698dc1,2
64972b9308c40d2548dd10f6,1
6497d255c67c4de2f1c80fda,2
649895349963db6ce3ac41d6,1
6498e01ffca229cf6caf6e57,1
64992bacc67c4de2f1c81115,12
649a12aaf6c6504b5baf9b4f,561
649a7a9ff6c6504b5baf9bbd,42
649b7537f6c6504b5baf9cbd,4
649c9d509963db6ce3ac45e8,13
649cdbc9c67c4de2f1c8156d,1
649dd6f7c67c4de2f1c81658,2
649df5069963db6ce3ac47ab,1
649f18069963db6ce3ac4914,4
649f409cc67c4de2f1c8181a,3
649fb6f0fca229cf6caf7641,1
64a0aa199963db6ce3ac4ae0,2
64a0c89df6c6504b5bafa221,2
64a2089a9963db6ce3ac4bff,7
64a2317ac67c4de2f1c81b29,1
64a34da69963db6ce3ac4d63,4
64a371e3fca229cf6caf7a6f,1
64a4622e9963db6ce3ac4e9c,5
64a4f664fca229cf6caf7c3a,18
64a65e81fca229cf6caf7de6,1
64a6f5bcfca229cf6caf7e45,45
64a83d15f6c6504b5bafaa0c,1
64a846a69963db6ce3ac51f9,415
64a87f93fca229cf6caf7f69,5
64aa4069fca229cf6caf807e,6
64ab92c7fca229cf6caf814b,1
64ac2d789963db6ce3ac53ec,2
64ac44c5fca229cf6caf81a2,4
64ac6b73c67c4de2f1c82359,7
64ac74aaf6c6504b5bafad10,508
64aca8079963db6ce3ac548c,3
64accbd7f6c6504b5bafadad,1
64acd65bfca229cf6caf8257,10
64ae2e37f6c6504b5bafaeb1,8
64af38a79963db6ce3ac566b,196
64b039799963db6ce3ac5720,1
64b1549d8fa6712803301d64,1
64b1a8e16b06337bd5d8c488,2
64b1a8e88fa6712803301da8,4
64b343708fa6712803301e54,2
64b344036b06337bd5d8c535,64
64b404d57a20474bd062b45a,2
64b4d0127a20474bd062b4a6,1
64b59972aed1cab14fdaa600,1
64b60a336b06337bd5d8c694,2
64b6be757a20474bd062b5a7,1
64b6e9a16b06337bd5d8c70c,1
64b76b737a20474bd062b64b,1
64b972d37a20474bd062b74b,1
64ba36b2aed1cab14fdaa901,11
64bac0ff6b06337bd5d8c939,2
64bd7e1a7a20474bd062b8a5,2
64be40626b06337bd5d8caa8,1
64bef138aed1cab14fdaaadf,666
64bf38458fa671280330244e,3
64bf67106b06337bd5d8cb6f,3
64c010e67a20474bd062b9da,207
64c0a65faed1cab14fdaabf2,2
64c160968fa6712803302586,3465
64c4484e7a20474bd062bc50,1
64c7d1dd7a20474bd062bd95,2
64c7f52c7a20474bd062bdbb,1
64c8350faed1cab14fdab00d,1
64c91c1f7a20474bd062be5e,12
64c92659aed1cab14fdab09e,2
64ca6c1f0ea5fdd669667f51,1
64cbfa670ea5fdd669668021,1
64cbfb2b0ea5fdd669668026,1
64cc6c6ce251d789d6ffb253,2
64cd2bb1e251d789d6ffb296,1
64cd7b8d7678ba057b06c541,1
64cd8856e251d789d6ffb2de,3
64cdd69e7678ba057b06c581,2
64cf7684e251d789d6ffb37f,1
64d01dd17678ba057b06c616,550
64d02e970ea5fdd6696681a6,2
64d065887678ba057b06c658,3
64d18cd07678ba057b06c6fb,25
64d1b18d0ea5fdd66966823d,2
64d1c4b0e251d789d6ffb464,1
64d22058b2e09692bc6ffe6d,1
64d2385db2e09692bc6ffe7b,2339
64d296d17678ba057b06c77b,1
64d2fab67678ba057b06c7f1,1
64d30f7eb2e09692bc6fff5f,1
64d31301b2e09692bc6fff63,1
64d3c5270ea5fdd669668372,1
64d3db847678ba057b06c885,1
64d418550ea5fdd6696683dd,2
64d5161bb2e09692bc700065,36
64d524f07678ba057b06c94c,1
64d52d257678ba057b06c953,1
64d5b2107678ba057b06c9f6,1
64d6850fe251d789d6ffb798,350
64d692c27678ba057b06ca78,1
64d6a254b2e09692bc700180,1
64d78d0ab2e09692bc7001d8,4
64d84e130ea5fdd669668615,8
64d866acb2e09692bc700237,22
64da8e4d0ea5fdd66966871f,2
64da98980ea5fdd66966872b,6
64dcc9130ea5fdd66966886a,354
64dd2c11b2e09692bc7004fa,1
64dd77497678ba057b06ce88,1
64de7947b2e09692bc7005b9,445
64dedfcfb2e09692bc70060a,12
64dfe679b2e09692bc700692,1
64e050987678ba057b06d013,3
64e09c74b2e09692bc7006e9,2
